欄の種別,項目,JSON項目名,諸元（テーブル・項目）,加工内容,判定
ガス料金,右欄_料金内訳名称1,,,「基本料金」は帳票上の固定見出しで、JSON側に名称を持つ項目はなし。金額のみ gas_consumption_contexts[].standing_charge_amount で連携。電気料金欄の同項目はKRA007上「-」（固定）と記載されており、ガス欄も同様の扱いと考えられる,JSONに該当なし
ガス料金,右欄_料金内訳名称2,,,「従量料金」は帳票上の固定見出しで、JSON側に名称を持つ項目はなし。金額のみ gas_consumption_contexts[].consumption_charge_amount で連携。電気料金欄の同項目はKRA007上「-」（固定）と記載,JSONに該当なし
ガス料金,右欄_料金内訳名称3,gas_consumption_contexts[].discounts[].name,billing_accountcharge の割引明細行の supply_type から取得した割引コード,対となる料金内訳金額3が discounts[].gross_amount のため、名称も discounts[].name が該当する見込み。ただし出力値は割引コードに対応する名称（例：ずっともパック割引額、特別割引額）で、sampleの「ガス料金割引額」はコード内の対応表に存在しないため要確認,候補
ガス料金,右欄_料金内訳名称4,gas_consumption_contexts[].discounts[].name,billing_accountcharge の割引明細行の supply_type から取得した割引コード,KRA007上、対となる料金内訳金額3に discounts[].gross_amount が指定されているため、料金内訳の3〜5は割引明細の繰り返し枠と推定。名称4は2件目の割引の名称,候補
ガス料金,右欄_料金内訳金額4,gas_consumption_contexts[].discounts[].gross_amount,billing_accountcharge の割引明細行（gross_amount）,KRA007上、対となる料金内訳金額3に discounts[].gross_amount が指定されているため、料金内訳の3〜5は割引明細の繰り返し枠と推定。金額4は2件目の割引の金額,候補
ガス料金,右欄_料金内訳名称5,gas_consumption_contexts[].discounts[].name,billing_accountcharge の割引明細行の supply_type から取得した割引コード,KRA007上、対となる料金内訳金額3に discounts[].gross_amount が指定されているため、料金内訳の3〜5は割引明細の繰り返し枠と推定。名称5は3件目の割引の名称,候補
ガス料金,右欄_料金内訳金額5,gas_consumption_contexts[].discounts[].gross_amount,billing_accountcharge の割引明細行（gross_amount）,KRA007上、対となる料金内訳金額3に discounts[].gross_amount が指定されているため、料金内訳の3〜5は割引明細の繰り返し枠と推定。金額5は3件目の割引の金額,候補
ガス料金取消額,左欄_料金テキスト,,,「ガス料金取消額」は帳票上の固定見出しで、JSON側に名称を持つ項目はなし。gas_reversing_credit_contexts[] に1件以上ある場合に欄を出力する運用となる,JSONに該当なし
ガス料金取消額,左欄_月分,gas_reversing_credit_contexts[].reading_date,取消対象となった billing_accountcharge の明細期間の終了日,現地時間の0時に揃えたうえでUTC・ミリ秒付きISO8601形式（末尾Z）で連携。YYYY年M月への編集はHUB側で必要,特定
ガス料金取消額,右欄_請求金額,gas_reversing_credit_contexts[].gross_amount,billing_accountcredit.gross_amount（ガス料金の取消対象クレジット）,円未満切り捨てで整数に変換。マイナス記号（▲）とカンマの編集はHUB側で必要,特定
デマンド,左欄_デマンド検針日,,,現行のBILLINGSTATEMENT JSONにデマンド関連の項目は一切なし。大口向けのデマンド検針日を連携する項目は未実装,JSONに該当なし
デマンド,左欄_デマンド検針時間,,,現行のBILLINGSTATEMENT JSONにデマンド関連の項目は一切なし。検針時刻を持つ項目は未実装,JSONに該当なし
デマンド,中欄_全日使用量,,,現行のBILLINGSTATEMENT JSONにデマンド関連の項目は一切なし。gas_consumption_contexts[].consumption_amount は検針票本体の使用量であり全日使用量ではない,JSONに該当なし
