No,JSON項目名,項目名,諸元（テーブル・項目）,加工内容,区分,KRA007該当項目,備考
1,customer_context.customer_name,お客さま名,accounts_account.billing_name（未設定時は jpn AccountUserDetails.kanji_name、さらに未設定時は kana_name）／支払人住所の同意時はTG様の支払人氏名,customer_context.billing_address_context.billing_customer_name と同値（全角変換済み）,参照切替あり,,支払人住所の同意またはキャンペーン適用時は、口座の請求先ではなくTG様の支払人情報を参照
2,customer_context.billing_address_context.billing_address_post_code,郵送先_郵便番号,accounts_account.billing_postcode／支払人住所の同意時はTG様の支払人郵便番号,そのまま出力,参照切替あり,封書検針票IF No.5.0（共通部_郵送先_郵便番号）,支払人住所の同意またはキャンペーン適用時は、口座の請求先ではなくTG様の支払人情報を参照
3,customer_context.billing_address_context.billing_address_line_1,郵送先_住所1,addresses_address（accounts_account.billing_address_obj 経由）／支払人住所の同意時はTG様の支払人住所,住所を最大6行（各30バイト以内）に分割し、都道府県・市区町村／町名番地／建物名／部屋番号の順に格納したうえで全角変換,加工あり,封書検針票IF No.6.0（共通部_郵送先_住所1）,支払人住所の同意またはキャンペーン適用時は、口座の請求先ではなくTG様の支払人情報を参照
4,customer_context.billing_address_context.billing_address_line_2,郵送先_住所2,addresses_address（accounts_account.billing_address_obj 経由）／支払人住所の同意時はTG様の支払人住所,住所を最大6行（各30バイト以内）に分割し、都道府県・市区町村／町名番地／建物名／部屋番号の順に格納したうえで全角変換,加工あり,封書検針票IF No.7.0（共通部_郵送先_住所2）,支払人住所の同意またはキャンペーン適用時は、口座の請求先ではなくTG様の支払人情報を参照
5,customer_context.billing_address_context.billing_address_line_3,郵送先_住所3,addresses_address（accounts_account.billing_address_obj 経由）／支払人住所の同意時はTG様の支払人住所,住所を最大6行（各30バイト以内）に分割し、都道府県・市区町村／町名番地／建物名／部屋番号の順に格納したうえで全角変換,加工あり,封書検針票IF No.8.0（共通部_郵送先_住所3）,支払人住所の同意またはキャンペーン適用時は、口座の請求先ではなくTG様の支払人情報を参照
6,customer_context.billing_address_context.billing_address_line_4,郵送先_住所4,addresses_address（accounts_account.billing_address_obj 経由）／支払人住所の同意時はTG様の支払人住所,住所を最大6行（各30バイト以内）に分割し、都道府県・市区町村／町名番地／建物名／部屋番号の順に格納したうえで全角変換,加工あり,封書検針票IF No.9.0（共通部_郵送先_住所4）,支払人住所の同意またはキャンペーン適用時は、口座の請求先ではなくTG様の支払人情報を参照
7,customer_context.billing_address_context.billing_address_line_5,郵送先_住所5,addresses_address（accounts_account.billing_address_obj 経由）／支払人住所の同意時はTG様の支払人住所,住所を最大6行（各30バイト以内）に分割し、都道府県・市区町村／町名番地／建物名／部屋番号の順に格納したうえで全角変換,加工あり,封書検針票IF No.10.0（共通部_郵送先_住所5）,支払人住所の同意またはキャンペーン適用時は、口座の請求先ではなくTG様の支払人情報を参照
8,customer_context.billing_address_context.billing_address_line_6,郵送先_住所6,addresses_address（accounts_account.billing_address_obj 経由）／支払人住所の同意時はTG様の支払人住所,住所を最大6行（各30バイト以内）に分割し、都道府県・市区町村／町名番地／建物名／部屋番号の順に格納したうえで全角変換,加工あり,封書検針票IF No.11.0（共通部_郵送先_店名屋号等）,支払人住所の同意またはキャンペーン適用時は、口座の請求先ではなくTG様の支払人情報を参照
9,customer_context.billing_address_context.billing_customer_name,郵送先_お客さま名,accounts_account.billing_name（未設定時は jpn AccountUserDetails.kanji_name、さらに未設定時は kana_name）／支払人住所の同意時はTG様の支払人氏名,全角変換。敬称「様」は付与しない,参照切替あり,封書検針票IF No.12.0（共通部_郵送先_お客さま名）,敬称「様」を付与しない実装のため、KRA007 No.12.0 のsample（例）上北沢　太郎　様）と不一致。支払人住所の同意またはキャンペーン適用時は、口座の請求先ではなくTG様の支払人情報を参照
10,customer_context.company_code,999B0-A-12345678-kraken1002,accounts_account.number ＋ コード内定数（エリアコード部・帳票ID部）,999B0-（accounts_account.number）-kraken1002 の形式で連結,加工あり,封書検針票IF No.15.0（共通部_社用コード）,前後の 999B0 と kraken1002 はコード内固定値。DBに諸元なし
