json_path,ja_label,source,transformation,kind,evidence
customer_context.customer_name,お客さま名,"accounts.Account.billing_name (table accounts_account), else jpn.AccountUserDetails.kanji_name (kanji_family_name+kanji_given_name), else kana_name; OR when payer-address consent: TGPS payer kanji_family_name+kanji_given_name else kana","Copied from billing_address_context.billing_customer_name (already full-width). Chain: get_billing_name: account billing_name via get_addressee_name, else primary AccountUserDetails.kanji_name or kana_name. Payer path joins TGPS addressee kanji (or kana if empty under flag).",chain,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:519-520; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/addresses.py:94-100; src/octoenergy/plugins/territories/jpn/markets/electricity/billing/domain/queries.py:485-497
customer_context.billing_address_context.billing_address_post_code,郵送先_郵便番号,accounts.Account.billing_postcode (accounts_account) OR TGPS payer addressee.postal_code when payer-address consent/campaign,Taken from account.billing_postcode or payer postal_code; no further format in printer layer (passed through).,chain,src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/addresses.py:97-100; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/addresses.py:122-125; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/dataclasses.py:70-71
customer_context.billing_address_context.billing_address_line_1,郵送先_住所1,"addresses.Address (addresses_address) via Account.billing_address_obj, split into 6 lines; OR TGPS payer address fields when payer-address path","format_address splits JP address into up to 6 lines of <=30 bytes (prefecture/city, street, building, room). Full-width conversion applied in formatters. Passed through printer unchanged.",derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/dataclasses.py:73-74; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/formatters.py:74-78; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:526-535
customer_context.billing_address_context.billing_address_line_2,郵送先_住所2,"addresses.Address (addresses_address) via Account.billing_address_obj, split into 6 lines; OR TGPS payer address fields when payer-address path","format_address splits JP address into up to 6 lines of <=30 bytes (prefecture/city, street, building, room). Full-width conversion applied in formatters. Passed through printer unchanged.",derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/dataclasses.py:76-77; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/formatters.py:74-78; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:526-535
customer_context.billing_address_context.billing_address_line_3,郵送先_住所3,"addresses.Address (addresses_address) via Account.billing_address_obj, split into 6 lines; OR TGPS payer address fields when payer-address path","format_address splits JP address into up to 6 lines of <=30 bytes (prefecture/city, street, building, room). Full-width conversion applied in formatters. Passed through printer unchanged.",derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/dataclasses.py:79-80; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/formatters.py:74-78; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:526-535
customer_context.billing_address_context.billing_address_line_4,郵送先_住所4,"addresses.Address (addresses_address) via Account.billing_address_obj, split into 6 lines; OR TGPS payer address fields when payer-address path","format_address splits JP address into up to 6 lines of <=30 bytes (prefecture/city, street, building, room). Full-width conversion applied in formatters. Passed through printer unchanged.",derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/dataclasses.py:82-83; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/formatters.py:74-78; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:526-535
customer_context.billing_address_context.billing_address_line_5,郵送先_住所5,"addresses.Address (addresses_address) via Account.billing_address_obj, split into 6 lines; OR TGPS payer address fields when payer-address path","format_address splits JP address into up to 6 lines of <=30 bytes (prefecture/city, street, building, room). Full-width conversion applied in formatters. Passed through printer unchanged.",derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/dataclasses.py:85-86; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/formatters.py:74-78; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:526-535
customer_context.billing_address_context.billing_address_line_6,郵送先_住所6,"addresses.Address (addresses_address) via Account.billing_address_obj, split into 6 lines; OR TGPS payer address fields when payer-address path","format_address splits JP address into up to 6 lines of <=30 bytes (prefecture/city, street, building, room). Full-width conversion applied in formatters. Passed through printer unchanged.",derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/dataclasses.py:88-89; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/formatters.py:74-78; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:526-535
customer_context.billing_address_context.billing_customer_name,郵送先_お客さま名,Same chain as customer_context.customer_name,strings.to_full_width applied; honorific suffix not included for billing statement (include_customer_name_honorific=False).,chain,src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/dataclasses.py:91-92; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/addresses.py:94-100; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:535
customer_context.company_code,999B0-A-12345678-kraken1002,accounts.Account.number (accounts_account) + constants COMPANY_CODE_AREA_CODE_PART_BILLING_STATEMENT and COMPANY_CODE_FORM_ID_PART_BILLING_STATEMENT,f'{999B0}-{account.number}-{kraken1002}',derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:517; src/octoenergy/plugins/clients/tokyogas/print_partner/shinsuna_forms/_constants.py:98-100
billing_document_context.issue_date,発行日：XXXX年XX月XX日,"issuance.BillingDocument.finalized_at (issuance_billingdocument), else localtime.now() for preview","ISO 8601 UTC with milliseconds, Z suffix: d.astimezone(UTC).isoformat(timespec='milliseconds').replace('+00:00','Z')",table,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:381-383,569-570; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:17-18,37"
billing_document_context.billed_at,XXXX年XX月分,Gas: GasConsumptionContext.reading_end; else Elec: ElectricityConsumptionContext.reading_date; else finalized_at,"Same ISO 8601 UTC millis Z format as issue_date. Prefer latest gas reading_end, else elec reading_date (because elec reading_end has day subtracted).",chain,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:558-572; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:38
billing_document_context.template_id,テンプレートID (*),Hardcoded shinsuna_forms.BILLING_STATEMENT_TEMPLATE_ID,Constant '*',constant,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:572; src/octoenergy/plugins/clients/tokyogas/print_partner/shinsuna_forms/_constants.py:102
gas_consumption_contexts[].gas_type,ガス種：13A 45メガジュール,Hardcoded shinsuna_forms.DEFAULT_GAS_TYPE,Constant '13A 45メガジュール',constant,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:881; src/octoenergy/plugins/clients/tokyogas/print_partner/shinsuna_forms/_constants.py:103
gas_consumption_contexts[].product_name,契約種別：一般契約,market_supply.Product via Agreement; PRODUCT_NAME_ALIASES map (code or code_addon_band),Lookup alias for gas product (+ addon band if present); not raw Product.display_name,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:764,882; src/octoenergy/plugins/clients/tokyogas/comms/queries.py:125-149"
gas_consumption_contexts[].meter_number_str,メーター社番：559-698-495,jpn_gas.GasSupplyPoint.physical_meter_number (market_jpn_gas_gassupplypoint),Passed as raw string (suffix _str avoids Decimal cast). Hyphenation exists on intermediate property meter_number but printer emits unhyphenated meter_number_str.,table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:884; src/octoenergy/plugins/territories/jpn/industry/gas/data/models/supply_points.py:52; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/_dataclasses.py:38-39
gas_consumption_contexts[].spin_str,供給地点特定番号：00100019368041034,jpn_gas.GasSupplyPoint.spin (market_jpn_gas_gassupplypoint),Raw spin string (unhyphenated) in JSON,table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:885; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/_dataclasses.py:40-41
