json_path,ja_label,source,transformation,kind,evidence
account_context.should_display_company_stamp,社印表示フラグ,"consents.Consent for TG consent type 'billing_company_stamp', keyed on a SigningIdentity whose identity is accounts_account.number","'1' when the latest consent value is ACCEPTED, else '0'. String, never null.",derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:612-616; src/octoenergy/plugins/clients/tokyogas/billing/queries.py:1008-1023
konbini_barcode_context.billing_control_number,請求管理番号,"payments_paymentinstruction.reference, billing_control_number token of the TGPS InstructionReference",Reference string is tokenised and the billing_control_number token (validated to start with '9') is emitted as-is.,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:594-596,807; src/octoenergy/plugins/clients/tokyogas/payments/cashflow/vendors/tg_payments/vendor/_references.py:44-52"
konbini_barcode_context.billing_serial_number,払込書通番,cashflow_tg_payments_tgpaymentreferences.serial_number when the feature flag is on; otherwise count of payments_accountpayment rows on the ledger up to this payment plus constant 20000,Passthrough string from KonbiniBarcode.serial_number.,chain,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:622,808; src/octoenergy/plugins/clients/tokyogas/payments/cashflow/vendors/tg_payments/queries.py:488-512; src/octoenergy/plugins/clients/tokyogas/payments/cashflow/vendors/tg_payments/files/codes.py:38"
konbini_barcode_context.kombini_payment_barcode,コンビニ払込用バーコード,"Assembled from constants GS1_APPLICATION_CODE '91' and GS1_COMPANY_INVOICING_CODE '920907', billing_control_number, serial number, charge occurrence date, issuing counter, constant '999999', stamp flag and payments_accountpayment.amount",'5' + '2' + '91' + '920907' + control no + serial + last digit of year + MMDD + counter + '999999' + stamp flag + amount.zfill(6) + check digit 1 + check digit 2 + '6'.,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:793-799,809; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/payments.py:84-128; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/constants.py:40-41"
konbini_barcode_context.kombini_payment_barcode_check_digit,バーコード_チェックデジット,Computed from the barcode payload (no database origin),First check digit only (modulus-10 weighted 3:1 over the payload).,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:810; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/payments.py:103-104,131-146"
konbini_barcode_context.kombini_proxy_payment_barcode_identifier,収納代行_識別子,Hardcoded GS1_APPLICATION_CODE wrapped in parentheses,Constant '(91)'.,constant,src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:811; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/constants.py:40
konbini_barcode_context.ocr_1,OCR行1,Constants '00190000072' and '200000000000000' plus payments_accountpayment.amount,"'00190000072' + amount.zfill(11) + '200000000000000', prefixed with two computed OCR check digits.",derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:801-802,812; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_shared_context.py:68-166"
konbini_barcode_context.ocr_2,OCR行2,"billing_control_number from payments_paymentinstruction.reference, charge occurrence date, payments_accountpayment.amount, payment slip serial number, plus constants '000' / '00' / '56658'","'000' + control no + charge occurrence date + '00' + amount.zfill(11) + serial + '56658', prefixed with two computed OCR check digits.",derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:803-804,813; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_shared_context.py:68-166"
konbini_barcode_context.payment_due_date,バーコード_支払期限,Hardcoded in the barcode builder (no database origin),Constant '999999'. Not the bill due date.,constant,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:814; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/payments.py:89,116"
konbini_barcode_context.payment_slip_issuing_company_code,収納企業コード,Hardcoded GS1_COMPANY_INVOICING_CODE,Constant '920907'.,constant,src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:815; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/constants.py:41
