No,JSON項目名,項目名,諸元（テーブル・項目）,加工内容,区分,備考
1,account_context.should_display_company_stamp,社印表示フラグ,consents_consent（社印表示の同意。consents_signingidentity の識別子は accounts_account.number）,同意済みの場合は「1」、未同意の場合は「0」を出力,加工あり,同意レコードが存在しない場合も「0」を出力
2,konbini_barcode_context.billing_control_number,請求管理番号,payments_paymentinstruction.reference（TGPS指示参照の請求管理番号部）,指示参照を分解し請求管理番号部をそのまま出力,加工あり,cashflow_tg_payments_tgpaymentreferences.billing_control_number は参照しないため、同テーブルで更新された番号は本項目に反映されません
3,konbini_barcode_context.billing_serial_number,払込書通番,cashflow_tg_payments_tgpaymentreferences.serial_number／未登録時は payments_accountpayment の件数,登録済みの通番をそのまま出力。未登録時は当該支払までの支払件数に20000を加算,参照切替あり,開始番号20000はコード内固定値
4,konbini_barcode_context.kombini_payment_barcode,コンビニ払込用バーコード,payments_paymentinstruction.reference、payments_accountpayment.amount ＋ コード内定数（開始コード・企業コード・支払期限）,開始コード・企業コード・請求管理番号・払込書通番・料金発生年月日（西暦下1桁＋MMDD）・発行回数・支払期限・収入印紙フラグ・6桁ゼロ埋め金額・チェックデジット2桁・終了コードを連結,加工あり,"金額部は6桁ゼロ埋めのため1,000,000円以上は桁あふれ。料金発生年月日は西暦下1桁のみのため10年周期で重複"
5,konbini_barcode_context.kombini_payment_barcode_check_digit,バーコード_チェックデジット,DBに諸元なし（コード内定義）,バーコード本体から算出した1桁目のチェックデジットを出力,加工あり,同じ値はコンビニ払込用バーコードの中にも含まれます
6,konbini_barcode_context.kombini_proxy_payment_barcode_identifier,収納代行_識別子,DBに諸元なし（コード内定義）,固定値「(91)」,固定値,コード内固定値のため、DBを見ても変更有無は判断できない
7,konbini_barcode_context.ocr_1,OCR行1,payments_accountpayment.amount ＋ コード内定数,「00190000072」＋11桁ゼロ埋め金額＋「200000000000000」を連結し、先頭にチェックデジット2桁を付加,加工あり,金額以外はすべてコード内固定値
8,konbini_barcode_context.ocr_2,OCR行2,payments_paymentinstruction.reference、payments_accountpayment.amount、払込書通番 ＋ コード内定数,「000」＋請求管理番号＋料金発生年月日（西暦下1桁＋MMDD）＋「00」＋11桁ゼロ埋め金額＋払込書通番＋「56658」を連結し、先頭にチェックデジット2桁を付加,加工あり,料金発生年月日は西暦下1桁のみ
9,konbini_barcode_context.payment_due_date,バーコード_支払期限,DBに諸元なし（コード内定義）,固定値「999999」,固定値,実際の支払期限は bill_context.payment_due_date 側です。本項目は支払期限を持たず、常に「999999」を出力します
10,konbini_barcode_context.payment_slip_issuing_company_code,収納企業コード,DBに諸元なし（コード内定義）,固定値「920907」,固定値,コード内固定値のため、DBを見ても変更有無は判断できない
